calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 16.000000 0.000000 0.000000 16.000000 0.000000 0.004874 0.000000 0.000000 0.000000 0.000000 
1 0.200000 21.013764 0.000000 0.160820 21.122157 0.481788 -0.016400 18.230355 0.101097 0.006532 21.013764 0.160820 0.000000 0.000000 
2 0.200000 21.013764 0.000000 0.160820 21.122157 0.481788 -0.016400 18.230355 0.101097 0.006532 0.000000 0.000000 80.000000 -20.000000 
3 0.200000 21.034653 0.178092 0.165246 20.973448 0.580285 -0.013736 17.443482 0.081281 0.006033 0.000000 0.000000 0.000000 0.000000 
1 0.400000 37.320555 2.894044 0.299263 25.998434 0.969612 -0.043102 21.961884 0.176462 0.007691 16.510815 0.134016 0.000000 0.000000 
2 0.400000 37.320555 2.894044 0.299263 25.998434 0.969612 -0.043102 21.961884 0.176462 0.007691 0.000000 0.000000 80.000000 20.000000 
3 0.400000 37.267103 3.215834 0.306391 25.681238 1.338116 -0.032446 20.607156 0.145054 0.006942 0.000000 0.000000 0.000000 0.000000 
1 0.600000 55.871139 9.101280 0.440408 30.956653 0.544840 -0.090197 28.835815 0.267593 0.008601 19.512781 0.134016 0.000000 0.000000 
1 0.800000 73.521970 17.419740 0.574424 37.501046 -2.891417 -0.181384 41.445943 0.408482 0.010259 19.512781 0.134016 0.000000 0.000000 
2 0.800000 73.521970 17.419740 0.574424 37.501046 -2.891417 -0.181384 41.445943 0.408482 0.010259 0.000000 0.000000 80.000000 -25.000000 
3 0.800000 73.401192 18.037842 0.584782 35.726412 -0.194190 -0.128186 35.794339 0.303560 0.008291 0.000000 0.000000 0.000000 0.000000 
1 1.000000 89.671577 28.809248 0.718799 43.334742 -4.964325 -0.234716 48.752940 0.425317 0.009949 19.512781 0.134016 0.000000 0.000000 
1 1.200000 104.356843 41.658046 0.852815 54.632757 -13.528039 -0.380929 64.261516 0.553035 0.011608 19.512781 0.134016 0.000000 0.000000 
2 1.200000 104.356843 41.658046 0.852815 54.632757 -13.528039 -0.380929 64.261516 0.553035 0.011608 0.000000 0.000000 80.000000 -15.000000 
